id,count
AEAAAAAAG,2
AEAAAAAFB,2
AEAAAACFF,2
AEAAAACHG,2
AEAAAAEBF,2
AEAAAAHFB,2
AEAAAAHIC,2
AEAAACAHB,2
AEAAACBHI,4
AEAAACCBI,2
AEAAAFEIF,2
AEAAAGHBG,2
AEAAAJBGD,2
AEAAAJECD,4
AEAAAJEDA,2
AEAABJHAC,4
AEAAJAAAD,2
AEAAJACDE,2
AEAAJADGF,4
AEAAJAFDB,2
AEAAJAFFA,2
AEAAJAHED,2
AEAAJAJAB,4
AEAAJBAFC,2
AEAAJBAFI,2
AEAAJBBEB,2
AEAAJBCEH,2
AEAAJBDBA,4
AEAAJBDJA,2
AEAAJBIDC,2
AEAAJBJBJ,2
AEAAJCCAB,4
AEAAJCCHC,2
AEAAJCDED,2
AEAAJDDAC,3
AEAAJDDBG,4
AEAAJDEAE,2
AEAAJDIDG,4
AEAAJDJHH,2
AEAAJEFAB,2
AEAAJEFEJ,2
AEAAJEGBF,2
AEAAJEGHH,2
AEAAJEHEE,2
AEAAJFEBC,2
AEAAJFEEE,2
AEAAJFJAE,2
AEAAJGABE,2
AEAAJGAFI,2
AEAAJGFJE,2
AEAAJHBCE,3
AEAAJHBHH,2
AEAAJHDHE,2
AEAAJHFBG,2
AEAAJHIGG,2
AEAAJIBAE,3
AEAAJIDEJ,3
AEAAJIFAB,2
AEAAJIFHA,2
AEAAJIGBB,2
AEAAJIIEC,4
AEAAJJDIC,2
AEAAJJFEA,2
AEAAJJGEH,2
AEAAJJHHB,2
AEAAJJHHD,2
AEAJAAEEJ,2
AEAJABCFH,2
AEAJABHDE,2
AEAJABHHI,2
AEAJABIBG,3
AEAJADAAG,2
AEAJADADD,2
AEAJADDBI,2
AEAJADECD,2
AEAJADEFJ,2
AEAJADGCD,3
AEAJADHCG,2
AEAJAEBAE,4
AEAJAEDJF,2
AEAJAEGBH,2
AEAJAEIIG,4
AEAJAFAEF,2
AEAJAFAHC,2
AEAJAFDEC,4
AEAJAFDFC,4
AEAJAFEIH,3
AEAJAFFAI,2
AEAJAFHCD,2
AEAJAGEJI,2
AEAJAGGHF,2
AEAJAHBHC,2
AEAJAIAAE,2
AEAJAICAC,2
AEAJAIEDE,2
AEAJAJBJE,2
AEAJAJCCF,2
AEAJAJDAI,2
AEAJAJGGA,4
AEAJBAGDJ,2
AEAJBAGJC,2
AEAJBAIJI,2
AEAJBBBAI,2
AEAJBBBCB,2
AEAJBCDEF,3
AEAJBCFDE,2
AEAJBCHAJ,2
AEAJBCHFC,6
AEAJBCHIG,4
AEAJBCIHE,2
AEAJBDABC,2
AEAJBDABD,2
AEAJBDAGD,2
AEAJBDFHH,2
AEAJBDGEB,2
AEAJBDIEG,2
AEAJBEHGI,2
AEAJBEIJF,2
AEAJBFAHJ,4
AEAJBFAJA,2
AEAJBFCFD,2
AEAJBFDDH,2
AEAJBFDHA,2
AEAJBGDCD,2
AEAJBGFIG,2
AEAJBGGFI,2
AEAJBGGIF,2
AEAJBGICH,3
AEAJBHGIH,2
AEAJBJACB,6
AEAJBJAGG,2
AEAJBJBEA,4
AEAJBJBED,2
AEAJBJDFH,2
AEAJBJEEB,2
AEAJBJEJH,2
AEAJCAFIH,2
AEAJCCGIG,2
AEAJCDBJC,2
AEAJCDCGB,2
AEAJCDFFH,2
AEAJCDFHE,2
AEAJCDJHD,4
AEAJCECDA,2
AEAJCECFC,4
AEAJCFBJE,2
AEAJCFDCD,2
AEAJCFEGC,2
AEAJCFJBA,4
AEAJCGEIF,6
AEAJCGJCE,2
AEAJCHECB,2
AEAJCHGAJ,2
AEAJCIGAI,2
AEAJDACAB,2
AEAJDAHBB,2
AEAJDBECH,2
AEAJDBEDG,2
AEAJDBFDG,2
AEAJDBGFF,2
AEAJDBGGC,2
AEAJDBGGG,2
AEAJDCCDA,2
AEAJDCHBH,2
AEAJDDABI,2
AEAJDDBCB,2
AEAJDDHFC,2
AEAJDDJHG,2
AEAJDEIJI,2
AEAJDFFDF,2
AEAJDFJBB,2
AEAJDGBCE,2
AEAJDGCDG,2
AEAJDGFGD,2
AEAJDGJGE,2
AEAJDHEIB,3
AEAJDHIDH,2
AEAJDIBFE,2
AEAJDIEED,2
AEAJDIJDG,4
AEAJDJFBE,2
AEAJEABCD,2
AEAJEACHD,3
AEAJEAEAE,4
AEAJEAEIG,2
AEAJEAHDD,4
AEAJEAIAF,2
AEAJEAIDF,2
AEAJEAIIA,2
AEAJEAJAI,2
AEAJEAJEG,2
AEAJEBABC,2
AEAJEBAHI,2
AEAJEBGIC,2
AEAJECAEJ,2
