id,speed
1,5km/h
2,7km/h
3,10km/h
4,11km/h
5,12km/h
6,13km/h
7,14km/h
8,15km/h
9,16km/h
10,17km/h
11,18km/h
12,19km/h
13,20km/h
14,21km/h
15,22km/h
16,23km/h
17,24km/h
18,25km/h
19,26km/h
20,27km/h
21,28km/h
22,29km/h
23,30km/h
24,31km/h
25,32km/h
26,33km/h
27,34km/h
28,35km/h
29,36km/h
30,37km/h
31,38km/h
32,39km/h
33,40km/h
34,41km/h
35,42km/h
36,43km/h
37,44km/h
38,45km/h
39,46km/h
40,47km/h
41,48km/h
42,49km/h
43,50km/h
44,51km/h
45,52km/h
46,53km/h
47,54km/h
48,55km/h
49,56km/h
50,57km/h
51,58km/h
52,59km/h
53,60km/h
54,61km/h
55,62km/h
56,63km/h
57,64km/h
58,65km/h
59,66km/h
60,67km/h
61,68km/h
62,69km/h
63,70km/h
64,71km/h
65,72km/h
66,73km/h
67,74km/h
68,75km/h
69,76km/h
70,77km/h
71,78km/h
72,79km/h
73,80km/h
74,81km/h
75,82km/h
76,83km/h
77,84km/h
78,85km/h
79,86km/h
80,87km/h
81,88km/h
82,89km/h
83,90km/h
84,91km/h
85,92km/h
86,93km/h
87,94km/h
88,95km/h
89,98km/h
90,100km/h
91,101km/h
92,102km/h
93,103km/h
94,104km/h
95,105km/h
96,106km/h
97,109km/h
