id,name,lng,lat,cityName,lineNames,lineID
BV10013454,苹果园,116.178945,39.925686,北京市,S1线|6号线,900000069871|110100023339
BV11494889,金安桥,116.162586,39.923298,北京市,S1线|6号线|11号线,900000069871|110100023339|900000159716
BV10813547,四道桥,116.13401,39.91603,北京市,S1线,900000069871
BV10813541,桥户营,116.125809,39.912383,北京市,S1线,900000069871
BV10813543,上岸,116.122225,39.905138,北京市,S1线,900000069871
BV10813544,栗园庄,116.123254,39.89578,北京市,S1线,900000069871
BV10813542,小园,116.114443,39.890465,北京市,S1线,900000069871
BV10813546,石厂,116.100334,39.889378,北京市,S1线,900000069871
BV10000295,古城,116.190337,39.90745,北京市,1号线八通线,110100023110
BV10013455,八角游乐园,116.212684,39.907442,北京市,1号线八通线,110100023110
BV10000302,八宝山,116.235948,39.90744,北京市,1号线八通线,110100023110
BV10013456,玉泉路,116.252888,39.907433,北京市,1号线八通线,110100023110
BV10013457,五棵松,116.273987,39.907456,北京市,1号线八通线,110100023110
BV10013458,万寿路,116.294765,39.907474,北京市,1号线八通线,110100023110
BV10000306,公主坟,116.309919,39.907469,北京市,1号线八通线|10号线,110100023110|110100023282
BV10000188,军事博物馆,116.321459,39.907422,北京市,1号线八通线|9号线,110100023110|110100023116
BV10013459,木樨地,116.337583,39.907379,北京市,1号线八通线,110100023110
BV10000309,南礼士路,116.352583,39.907234,北京市,1号线八通线,110100023110
BV10007375,复兴门,116.356866,39.907242,北京市,1号线八通线|2号线,110100023110|110100023098
BV10006791,西单,116.374072,39.907383,北京市,1号线八通线|4号线大兴线,110100023110|110100023076
BV10005941,天安门西,116.391278,39.907472,北京市,1号线八通线,110100023110
BV10006499,天安门东,116.401216,39.90778,北京市,1号线八通线,110100023110
BV10006496,王府井,116.411571,39.908069,北京市,1号线八通线|8号线,110100023110|110100023114
BV10013440,东单,116.41848,39.908325,北京市,1号线八通线|5号线,110100023110|110100023100
BV10013432,建国门,116.435806,39.908501,北京市,1号线八通线|2号线,110100023110|110100023098
BV10013460,永安里,116.450497,39.908454,北京市,1号线八通线,110100023110
BV10013461,国贸,116.461841,39.909104,北京市,1号线八通线|10号线,110100023110|110100023282
BV10013364,大望路,116.475783,39.908287,北京市,1号线八通线|14号线,110100023110|900000028907
BV10000275,四惠,116.495456,39.908749,北京市,1号线八通线,110100023110
BV10007589,四惠东,116.515664,39.908495,北京市,1号线八通线,110100023110
BV10013517,高碑店,116.531421,39.909448,北京市,八通线,110100033086
BV10013518,传媒大学,116.554639,39.909215,北京市,八通线,110100033086
BV10013519,双桥,116.576709,39.910139,北京市,八通线,110100033086
BV10004294,管庄,116.599002,39.90909,北京市,八通线,110100033086
BV10001118,八里桥,116.618658,39.906121,北京市,八通线,110100033086
BV10004143,通州北苑,116.637252,39.903864,北京市,八通线,110100033086
BV10004141,果园,116.646606,39.893393,北京市,八通线,110100033086
BV10001298,九棵树,116.657533,39.890278,北京市,八通线,110100033086
BV10002455,梨园,116.66872,39.883677,北京市,八通线,110100033086
BV10013520,临河里,116.678811,39.875496,北京市,八通线,110100033086
BV10004138,土桥,116.686349,39.871926,北京市,八通线,110100033086
BV11253781,花庄,116.695495,39.856722,北京市,1号线八通线|7号线,110100023110|110100023054
BV10850689,环球度假区,116.679099,39.849152,北京市,1号线八通线|7号线,110100023110|110100023054
BV10013430,积水潭,116.373126,39.948653,北京市,2号线|19号线,110100023098|900000079004
BV10013431,鼓楼大街,116.393776,39.948972,北京市,2号线|8号线,110100023098|110100023114
BV10001936,安定门,116.40824,39.94918,北京市,2号线,110100023098
BV10006563,雍和宫,116.417069,39.949336,北京市,2号线|5号线,110100023098|110100023100
BV10002731,东直门,116.435842,39.941626,北京市,2号线|13号线|首都机场线,110100023098|110100033066|110100023096
BV10001047,东四十条,116.434133,39.933801,北京市,2号线,110100023098
BV10004298,朝阳门,116.434584,39.924499,北京市,2号线|6号线,110100023098|110100023339
BV10006813,北京站,116.427287,39.904983,北京市,2号线,110100023098
BV10013433,崇文门,116.417093,39.901063,北京市,2号线|5号线,110100023098|110100023100
BV10005884,前门,116.397937,39.900192,北京市,2号线|8号线,110100023098|110100023114
BV10013434,和平门,116.384209,39.900098,北京市,2号线,110100023098
BV10013415,宣武门,116.374314,39.899765,北京市,2号线|4号线大兴线,110100023098|110100023076
BV10013435,长椿街,116.363355,39.899433,北京市,2号线,110100023098
BV10001036,阜成门,116.356009,39.923686,北京市,2号线,110100023098
BV10013437,车公庄,116.354357,39.932397,北京市,2号线|6号线,110100023098|110100023339
BV10001595,西直门,116.355426,39.940474,北京市,2号线|4号线大兴线,110100023098|110100023076
BV10003869,天宫院,116.319932,39.670342,北京市,4号线大兴线,110100023076
BV10013422,生物医药基地,116.321662,39.68651,北京市,4号线大兴线,110100023076
BV10010394,义和庄,116.319079,39.712387,北京市,4号线大兴线,110100023076
BV10000372,黄村火车站,116.332611,39.722966,北京市,4号线大兴线,110100023076
BV10002783,黄村西大街,116.332631,39.731769,北京市,4号线大兴线,110100023076
BV10013275,清源路,116.332513,39.742724,北京市,4号线大兴线,110100023076
BV10013421,枣园,116.332204,39.753458,北京市,4号线大兴线,110100023076
BV10013420,高米店南,116.331605,39.763489,北京市,4号线大兴线,110100023076
BV10013419,高米店北,116.330787,39.773547,北京市,4号线大兴线,110100023076
BV10000383,西红门,116.328689,39.7898,北京市,4号线大兴线,110100023076
BV10013418,新宫,116.365549,39.812592,北京市,4号线大兴线|19号线,110100023076|900000079004
BV10008170,公益西桥,116.370796,39.836135,北京市,4号线大兴线,110100023076
BV10013417,角门西,116.371154,39.84585,北京市,4号线大兴线|10号线,110100023076|110100023282
BV10009949,马家堡,116.371361,39.853109,北京市,4号线大兴线,110100023076
BV10006454,北京南站,116.378963,39.865029,北京市,4号线大兴线|14号线,110100023076|900000028907
BV10013416,陶然亭,116.374383,39.87847,北京市,4号线大兴线,110100023076
BV10013379,菜市口,116.374425,39.889296,北京市,4号线大兴线|7号线,110100023076|110100023054
BV10008400,灵境胡同,116.373746,39.915912,北京市,4号线大兴线,110100023076
BV10013414,西四,116.373332,39.924206,北京市,4号线大兴线,110100023076
BV10013413,平安里,116.372883,39.933949,北京市,4号线大兴线|6号线,110100023076|110100023339
BV10013412,新街口,116.367742,39.940667,北京市,4号线大兴线,110100023076
BV10006771,动物园,116.339031,39.93825,北京市,4号线大兴线,110100023076
BV10000252,国家图书馆,116.32519,39.943114,北京市,4号线大兴线|9号线|16号线,110100023076|110100023116|900000062236
BV10000255,魏公村,116.32322,39.957904,北京市,4号线大兴线,110100023076
BV10000258,人民大学,116.321367,39.966956,北京市,4号线大兴线,110100023076
BV10013411,海淀黄庄,116.317564,39.975996,北京市,4号线大兴线|10号线,110100023076|110100023282
BV10013410,中关村,116.316467,39.983991,北京市,4号线大兴线,110100023076
BV10013409,北京大学东门,116.315842,39.992212,北京市,4号线大兴线,110100023076
BV10013408,圆明园,116.310186,39.999662,北京市,4号线大兴线,110100023076
BV10000920,西苑,116.290908,39.998258,北京市,4号线大兴线|16号线,110100023076|900000062236
BV10013407,北宫门,116.277647,40.002373,北京市,4号线大兴线,110100023076
BV10013406,安河桥北,116.269956,40.012195,北京市,4号线大兴线,110100023076
BV10000743,宋家庄,116.428368,39.845849,北京市,5号线|10号线|亦庄线,110100023100|110100023282|110100023102
BV10013438,刘家窑,116.422119,39.857521,北京市,5号线,110100023100
BV10006603,蒲黄榆,116.42372,39.865621,北京市,5号线|14号线,110100023100|900000028907
BV10013439,天坛东门,116.420833,39.882558,北京市,5号线,110100023100
BV10013383,磁器口,116.41994,39.893172,北京市,5号线|7号线,110100023100|110100023054
BV10013441,灯市口,116.417783,39.917113,北京市,5号线,110100023100
BV10013442,东四,116.417493,39.92437,北京市,5号线|6号线,110100023100|110100023339
BV10001045,张自忠路,116.417156,39.933592,北京市,5号线,110100023100
BV10013443,北新桥,116.416884,39.940782,北京市,5号线|首都机场线,110100023100|110100023096
BV10006616,和平里北街,116.418504,39.958734,北京市,5号线,110100023100
BV10001221,和平西桥,116.417975,39.968386,北京市,5号线,110100023100
BV10005412,惠新西街南口,116.417537,39.977121,北京市,5号线|10号线,110100023100|110100023282
BV10006707,惠新西街北口,116.417028,39.987836,北京市,5号线,110100023100
BV10013376,大屯路东,116.417377,40.003841,北京市,5号线|15号线,110100023100|110100023070
BV10013444,北苑路北,116.418089,40.030436,北京市,5号线,110100023100
BV10004309,立水桥南,116.414496,40.041956,北京市,5号线,110100023100
BV10000461,立水桥,116.41235,40.053032,北京市,5号线|13号线,110100023100|110100033066
BV10013445,天通苑南,116.412661,40.066458,北京市,5号线,110100023100
BV10013446,天通苑,116.412759,40.075222,北京市,5号线,110100023100
BV10013447,天通苑北,116.412888,40.083668,北京市,5号线,110100023100
BV10416639,潞城,116.747434,39.902652,北京市,6号线,110100023339
BV10416641,东夏园,116.73385,39.903147,北京市,6号线,110100023339
BV10416644,郝家府,116.717826,39.903195,北京市,6号线,110100023339
